Name,StudentID,Age,Gender,AttendanceRate,AcademicPerformance,CounselingSessions,BehaviorIncidents,LastHelpDate,HotlineCalls,AI_RecommendedAction,teacher_note,label
Student_29,29,15,F,100.0,72.9,1,مشاكل تركيز,2024-11-05,0,,الطالب يتفاعل بحماس ويظهر شغفًا بالعلم,low
Student_30,30,16,F,84.1,87.2,1,مشاكل تركيز,2024-08-08,0,,الطفلة تتعاون مع زملائها وتحب العمل الجماعي,low
Student_31,31,12,M,91.3,77.5,1,سلوك طبيعي,2024-10-21,1,,الطفل لديه مهارات تواصل جيدة ويشارك بأفكاره,low
Student_32,32,16,F,87.3,60.5,1,سلوك طبيعي,2024-09-23,0,,لحسن الحظ الطالب يشارك بفعالية ويظهر حماسًا للتعلم,low
Student_33,33,16,M,97.0,82.2,2,سلوك طبيعي,2024-07-14,0,,التلميذة متميزة في التحليل والتفكير النقدي,low
Student_34,34,13,F,100.0,84.2,1,مشاكل تركيز,2024-12-21,0,,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي بوضوح,low
Student_35,35,13,F,90.6,70.7,0,سلوك طبيعي,2024-05-18,0,,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا بوضوح,low
Student_36,36,17,F,92.7,82.3,0,مشاكل تركيز,2024-07-20,0,,الطفل يظهر دافعية جيدة ويتحسن باستمرار,low
Student_37,37,13,F,81.8,77.9,0,مشاكل تركيز,2024-10-29,0,,الطالب يشارك بفعالية ويظهر حماسًا للتعلم جداً,low
Student_38,38,16,F,92.4,72.6,1,مشاكل تركيز,2024-08-13,0,,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي تماماً,low
Student_39,39,14,F,89.6,59.5,0,مشاكل تركيز,2024-11-10,0,,لحسن الحظ الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
Student_40,40,16,M,78.9,87.9,4,مشاكل تركيز,2024-07-29,0,,الطفل لديه مهارات تواصل رائعة ويشارك بأفكاره جداً,low
Student_41,41,14,M,87.9,84.1,0,سلوك طبيعي,2024-09-14,0,,من الجيد أن الطالب يشارك في الأنشطة ويميل للتعلم الذاتي,low
Student_42,42,14,F,84.2,82.0,0,مشاكل تركيز,2024-01-17,0,,الدارسة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
Student_43,43,13,M,81.9,93.5,1,سلوك طبيعي,2024-03-24,0,,الطالب يتفاعل بحماس ويظهر شغفًا بالعلم,low
Student_44,44,15,F,76.5,86.3,1,سلوك طبيعي,2024-04-15,0,,الطالب لديه مهارات تواصل جيدة جداً ويشارك بأفكاره,low
Student_45,45,12,M,88.6,83.2,0,مشاكل تركيز,2024-01-30,0,,الطفلة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
Student_46,46,13,F,80.2,48.4,1,مشاكل تركيز,2024-03-25,0,,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا بوضوح,low
Student_47,47,13,M,83.3,89.4,1,سلوك طبيعي,2024-02-06,0,,الدارسة متفوقة و متفاعلة مع جميع الأنشطة,low
Student_48,48,15,M,98.8,76.0,0,سلوك طبيعي,2024-04-11,0,,الطالب لديه مهارات تواصل جيدة بوضوح ويشارك بأفكاره,low
Student_49,49,12,F,94.3,78.7,0,مشاكل تركيز,2024-08-20,0,,الطالبة متميزة في التحليل والتفكير النقدي جداً,low
Student_50,50,16,M,78.2,78.8,2,سلوك طبيعي,2024-05-13,0,,الطالب يظهر حماس رائعة ويتحسن باستمرار,low
Student_51,51,17,F,91.5,84.3,1,مشاكل تركيز,2024-05-15,0,,يسعدني أن الطالبة تتعاون مع زملائها وتحب العمل الجماعي جداً,low
Student_52,52,17,M,89.3,88.5,0,سلوك طبيعي,2024-03-17,0,,من الجيد أن الطالبة لديها طاقة إيجابية وتحب المشاركة,low
Student_53,53,16,M,100.0,82.6,0,سلوك طبيعي,2024-04-07,0,,لحسن الحظ التلميذة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
Student_54,54,13,F,100.0,80.7,1,سلوك طبيعي,2024-12-07,1,,الدارسة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
Student_55,55,12,M,72.7,77.8,0,سلوك طبيعي,2024-08-24,0,,الطالب يشارك بحماس ويظهر شغفًا بالعلم بوضوح,low
Student_56,56,13,F,96.6,40.0,1,سلوك طبيعي,2024-08-10,0,,الطفلة متميزة في التحليل والتفكير النقدي,low
Student_57,57,14,F,100.0,71.5,0,مشاكل تركيز,2024-03-03,0,,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
Student_58,58,13,F,93.6,63.7,0,سلوك طبيعي,2024-09-23,0,,الطالب يشارك بحماس ويظهر شغفًا بالعلم جداً,low
Student_59,59,13,F,84.6,89.5,0,مشاكل تركيز,2024-02-29,0,,الدارسة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
Student_60,60,16,F,100.0,82.4,0,سلوك طبيعي,2024-05-18,0,,الدارس يشارك في الأنشطة ويميل للتعلم الذاتي بوضوح,low
Student_61,61,16,F,94.5,69.5,1,مشاكل تركيز,2024-12-27,0,,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا بوضوح,low
Student_62,62,16,M,100.0,70.7,1,سلوك طبيعي,2024-08-21,0,,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا جداً,low
Student_63,63,17,M,100.0,70.3,0,مشاكل تركيز,2024-07-22,0,,الطفل يحرص على المشاركة ويظهر روح المبادرة بوضوح,low
Student_64,64,14,M,92.6,70.1,0,مشاكل تركيز,2024-09-06,1,,الطالب منظم ويظهر تقدمًا ملحوظًا في دراسته بوضوح,low
Student_65,65,16,M,82.2,57.7,0,مشاكل تركيز,2024-11-03,0,,التلميذ يشارك في الأنشطة ويميل للتعلم الذاتي,low
Student_66,66,12,F,87.8,55.1,1,سلوك طبيعي,2024-10-10,0,,يسعدني أن الطالبة متميزة في التحليل والتفكير النقدي جداً,low
Student_67,67,17,F,85.8,75.3,2,سلوك طبيعي,2024-03-24,0,,الطالبة لديها طاقة إيجابية وتحب المشاركة تماماً,low
Student_68,68,15,M,75.9,87.9,1,سلوك طبيعي,2024-01-12,0,,الطفلة لديها طاقة إيجابية وتحب المشاركة تماماً,low
Student_69,69,12,M,94.5,68.5,1,مشاكل تركيز,2024-04-25,0,,الطفل يظهر شغف رائعة ويتحسن باستمرار جداً,low
Student_70,70,12,M,100.0,78.6,0,سلوك طبيعي,2024-04-07,0,,من الجيد أن الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
Student_71,71,16,F,85.0,83.8,0,سلوك طبيعي,2024-03-18,0,,لحسن الحظ الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار جداً,low
Student_72,72,15,F,100.0,63.1,0,مشاكل تركيز,2024-12-10,0,,الدارسة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
Student_73,73,15,M,72.4,74.8,0,سلوك طبيعي,2024-11-15,0,,الدارس يساهم في الأنشطة ويميل للتعلم الذاتي,low
Student_74,74,17,F,98.5,67.0,1,سلوك طبيعي,2024-04-24,0,,الطفلة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
Student_75,75,15,F,100.0,94.3,2,سلوك طبيعي,2024-08-27,0,,الدارسة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
Student_76,76,14,M,86.0,93.7,0,مشاكل تركيز,2024-05-24,0,,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا تماماً,low
Student_77,77,16,F,86.1,63.1,3,مشاكل تركيز,2024-11-29,0,,يسعدني أن الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
Student_78,78,15,F,98.4,79.6,0,مشاكل تركيز,2024-06-16,0,,الطالب يساهم بحماس ويظهر شغفًا بالعلم,low
Student_79,79,17,M,93.1,87.8,0,سلوك طبيعي,2024-04-06,0,,التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
Student_80,80,14,M,68.0,85.2,0,سلوك طبيعي,2024-03-31,0,,الطفل يحرص على المشاركة ويظهر روح المبادرة,low
Student_81,81,13,M,79.6,76.0,2,سلوك طبيعي,2024-07-23,0,,الطالب يحرص على المشاركة ويظهر روح المبادرة جداً,low
Student_82,82,13,M,87.9,90.7,2,مشاكل تركيز,2024-04-05,0,,الطفل ينشط بحماس ويظهر شغفًا بالعلم,low
Student_83,83,14,F,74.3,64.1,0,سلوك طبيعي,2024-08-01,0,,التلميذ يتفاعل مع الدرس ويظهر تقدمًا واضحًا تماماً,low
Student_84,84,17,F,83.3,71.4,1,مشاكل تركيز,2024-11-23,0,,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي تماماً,low
Student_85,85,14,M,74.6,64.5,2,مشاكل تركيز,2024-05-25,0,,التلميذة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
Student_86,86,16,M,84.3,84.4,1,سلوك طبيعي,2024-03-21,0,,الدارس يشارك في الأنشطة ويميل للتعلم الذاتي,low
Student_87,87,16,M,84.6,68.0,2,مشاكل تركيز,2024-12-30,0,,الطالب يحرص على المشاركة ويظهر روح المبادرة بوضوح,low
Student_88,88,13,M,91.5,72.9,0,مشاكل تركيز,2024-07-04,0,,التلميذ لديه مهارات تواصل ممتازة بوضوح ويشارك بأفكاره,low
Student_89,89,15,F,87.1,82.4,0,مشاكل تركيز,2024-02-03,0,,الطفلة متميزة في التحليل والتفكير النقدي بوضوح,low
Student_90,90,17,M,93.0,83.4,2,سلوك طبيعي,2024-01-18,0,,يسعدني أن الطالبة تتعاون مع زملائها وتحب العمل الجماعي,low
Student_91,91,13,M,91.8,64.1,0,سلوك طبيعي,2024-02-10,0,,الطفل يشارك بحماس ويظهر شغفًا بالعلم,low
Student_92,92,15,M,98.3,87.7,2,سلوك طبيعي,2024-08-17,0,,الطالبة تتعاون مع زملائها وتحب العمل الجماعي بوضوح,low
Student_93,93,15,F,96.7,80.5,1,سلوك طبيعي,2024-10-16,0,,التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا في الآونة الأخيرة,low
Student_94,94,16,M,95.7,62.0,0,سلوك طبيعي,2024-06-03,0,,الطالبة لديها طاقة إيجابية وتحب المشاركة تماماً,low
Student_95,95,12,F,100.0,59.1,1,سلوك طبيعي,2024-01-24,0,,الطالبة رائعة و متفاعلة مع جميع الأنشطة,low
Student_96,96,12,M,91.5,74.8,0,سلوك طبيعي,2024-05-19,0,,لحسن الحظ الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
Student_97,97,14,F,100.0,85.2,0,مشاكل تركيز,2024-12-29,0,,التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا في الآونة الأخيرة,low
Student_98,98,16,F,92.1,85.5,2,سلوك طبيعي,2024-07-12,0,,يسعدني أن الطفل يتفاعل مع الدرس ويظهر تقدمًا واضحًا,low
Student_99,99,15,M,87.2,79.3,0,سلوك طبيعي,2024-12-20,0,,التلميذ منظم ويظهر تقدمًا ملحوظًا في دراسته خلال الفترة الماضية,low
Student_100,100,17,M,84.3,75.6,2,سلوك طبيعي,2024-11-10,0,,من الجيد أن الدارسة تتعاون مع زملائها وتحب العمل الجماعي,low
Student_101,101,12,F,100.0,81.1,1,مشاكل تركيز,2024-01-05,0,,الطالب يشارك في الحصة لكنه أحيانًا يتشتت بسرعة,moderate
Student_102,102,15,F,100.0,64.7,1,سلوك طبيعي,2024-09-20,0,,الطالبة تحتاج مساعدة إضافية في فهم الدروس,moderate
Student_103,103,12,M,94.0,95.2,0,مشاكل تركيز,2024-09-05,0,,الطالب يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
Student_104,104,12,M,99.3,95.1,1,مشاكل تركيز,2024-07-14,0,,الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر,moderate
Student_105,105,12,F,75.2,80.1,0,سلوك طبيعي,2024-04-07,0,,الطالب يبذل جهدًا لكنه يجد صعوبة في حل المسائل المعقدة,moderate
Student_106,106,17,F,72.5,77.4,1,انسحاب اجتماعي,2024-08-21,0,,الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
Student_107,107,16,M,100.0,70.1,1,مشاكل تركيز,2024-02-10,0,,الطالب أحيانًا يتشتت لكنه يحرص على التعلم,moderate
Student_108,108,17,F,86.7,81.3,1,تأخر مستمر عن الصف,2024-06-07,0,,الطالبة تفتقد للحافز وتحتاج متابعة من الأهل,moderate
Student_109,109,13,M,95.5,66.7,2,سلوك طبيعي,2024-06-14,0,,الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات,moderate
Student_110,110,15,F,80.8,48.3,2,سلوك طبيعي,2024-12-14,1,,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات,moderate
Student_111,111,16,M,100.0,42.4,0,مشاكل تركيز,2024-11-15,0,,الطالب لديه دافعية جيدة لكن يحتاج تنظيمًا أكبر لوقته,moderate
Student_112,112,16,M,72.6,65.4,1,سلوك طبيعي,2024-04-06,0,,الطالبة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
Student_113,113,16,M,74.1,76.9,2,مشاكل تركيز,2024-07-01,0,,الطالب يواجه تحديات في التعبير الكتابي,moderate
Student_114,114,16,F,100.0,79.0,1,مشاكل تركيز,2024-03-06,0,,الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي,moderate
Student_115,115,17,M,61.9,69.2,1,سلوك طبيعي,2024-11-29,0,,الطالب يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة,moderate
Student_116,116,16,M,91.8,76.7,0,سلوك طبيعي,2024-11-13,0,,الطالبة تحتاج دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
Student_117,117,14,M,86.9,71.7,2,مشاكل تركيز,2024-04-18,0,,الطالب يحتاج متابعة متوسطة في مادة العلوم,moderate
Student_118,118,15,M,80.6,63.0,1,مشاكل تركيز,2024-08-21,0,,الطالب يفتقر إلى متابعة متوسطة في مادة العلوم,moderate
Student_119,119,16,F,86.0,74.4,1,مشاكل تركيز,2024-08-10,0,,الطالب يبذل جهدًا لكنه يتشتت انتباهه عند مواجهة مسائل جديدة,moderate
Student_120,120,15,M,79.5,84.8,4,مشاكل تركيز,2024-02-25,0,,الدارسة تفتقد للحافز وتحتاج متابعة من الأهل,moderate
Student_121,121,14,F,100.0,63.6,1,مشاكل تركيز,2024-10-05,0,,الطالب يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
Student_122,122,14,F,100.0,63.6,1,سلوك طبيعي,2024-07-15,0,,الطالب لديه دافعية رائعة لكن يحتاج تنظيمًا أكبر لوقته,moderate
Student_123,123,15,F,81.1,62.2,2,سلوك طبيعي,2024-10-11,0,,الطالب لديه شغف جيدة لكن يحتاج تنظيمًا أكبر لوقته,moderate
Student_124,124,12,M,90.8,51.8,0,سلوك طبيعي,2024-07-12,0,,الدارس يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة نوعاً ما,moderate
Student_125,125,13,M,74.7,69.2,1,سلوك طبيعي,2024-01-01,0,,الطالبة تحاول بجد لكنها تجد صعوبة قليلاً في القراءة الجهرية,moderate
Student_126,126,12,M,98.7,83.6,0,سلوك طبيعي,2024-04-28,0,,الطالب يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
Student_127,127,12,M,98.5,77.1,0,مشاكل تركيز,2024-01-08,0,,الدارس يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
Student_128,128,17,M,85.0,73.0,0,سلوك طبيعي,2024-12-05,0,,التلميذ يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
Student_129,129,12,F,88.2,76.5,1,مشاكل تركيز,2024-11-16,1,,الطالب يبذل جهدًا لكنه يجد مشكلة في حل المسائل المعقدة نوعاً ما,moderate
Student_130,130,16,M,87.1,69.1,0,مشاكل تركيز,2024-10-30,0,,الطالبة تحاول بجد لكنها تجد صعوبة في المطالعة الجهرية,moderate
Student_131,131,17,M,71.8,51.6,0,مشاكل تركيز,2024-04-22,0,,الطالب يواجه تحديات في التعبير الكتابي قليلاً,moderate
Student_132,132,17,F,100.0,84.4,0,سلوك طبيعي,2024-01-22,0,,الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم قليلاً,moderate
Student_133,133,14,M,80.3,87.9,0,مشاكل تركيز,2024-11-16,0,,التلميذ أحياناً يتشتت لكنه يحرص على التعلم قليلاً,moderate
Student_134,134,12,F,80.4,66.3,0,تأخر مستمر عن الصف,2024-12-11,0,,الطفلة تحتاج إلى دعم إضافي في مادة الحساب,moderate
Student_135,135,14,F,86.5,73.2,0,مشاكل تركيز,2024-02-01,0,,الدارس يحتاج متابعة متوسطة في مادة العلوم قليلاً,moderate
Student_136,136,15,M,98.0,72.2,0,سلوك طبيعي,2024-06-26,0,,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات نوعاً ما,moderate
Student_137,137,13,F,82.1,79.2,1,مشاكل تركيز,2024-01-26,0,,الطالبة تفتقر إلى وقتًا أطول لاستيعاب بعض المفاهيم إلى حد ما,moderate
Student_138,138,17,F,68.5,95.3,1,سلوك طبيعي,2024-10-04,0,,الطفل يحتاج رعاية متوسطة في مادة العلوم,moderate
Student_139,139,15,F,79.1,88.9,1,انسحاب اجتماعي,2024-10-06,0,,الطالبة تحتاج مساندة إضافية في فهم الدروس,moderate
Student_140,140,15,M,92.2,70.5,1,مشاكل تركيز,2024-02-16,0,,الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
Student_141,141,16,M,100.0,81.5,1,سلوك طبيعي,2024-06-22,0,,الطالبة تخاف في الإجابة وتحتاج إلى تشجيع مستمر إلى حد ما في الآونة الأخيرة,moderate
Student_142,142,13,F,75.4,90.1,2,سلوك طبيعي,2024-07-19,0,,التلميذة تستدعي دعمًا في تطوير مهارات التفكير النقدي,moderate
Student_143,143,15,M,75.0,79.9,0,مشاكل تركيز,2024-04-06,0,,الطالب يحتاج متابعة متوسطة في مادة العلوم إلى حد ما,moderate
Student_144,144,15,M,72.9,74.9,0,مشاكل تركيز,2024-11-14,0,,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات إلى حد ما,moderate
Student_145,145,13,M,71.6,80.4,3,انسحاب اجتماعي,2024-06-03,0,,الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
Student_146,146,13,F,100.0,66.6,0,مشاكل تركيز,2024-03-18,1,,الطالبة تفتقد للحافز وتحتاج ملاحظة من الأهل,moderate
Student_147,147,15,M,100.0,68.3,0,مشاكل تركيز,2024-07-15,0,,الطفل يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
Student_148,148,13,F,89.8,62.2,1,سلوك طبيعي,2024-09-23,0,,الطفلة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
Student_149,149,15,F,83.3,78.7,1,سلوك طبيعي,2024-03-14,0,,الطفل لديه دافعية جيدة لكن يستدعي تنظيمًا أكبر لوقته مؤخراً,moderate
Student_150,150,15,F,100.0,73.4,1,سلوك طبيعي,2024-04-23,0,,الطالبة تحاول بجد لكنها تجد صعوبة إلى حد ما في القراءة الجهرية,moderate
Student_151,151,16,F,89.7,65.1,1,مشاكل تركيز,2024-12-29,0,,الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر نوعاً ما خلال الفترة الماضية,moderate
Student_152,152,12,F,98.9,73.0,1,سلوك طبيعي,2024-08-25,0,,الطالب أحيانًا يتشتت لكنه يحرص على التعلم نوعاً ما,moderate
Student_153,153,15,F,82.8,80.6,1,سلوك طبيعي,2024-06-08,0,,التلميذ أحيانًا يتشتت انتباهه لكنه يحرص على التعلم,moderate
Student_154,154,14,M,88.4,98.0,2,مشاكل تركيز,2024-07-07,0,,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات نوعاً ما,moderate
Student_155,155,17,F,75.6,87.1,0,سلوك طبيعي,2024-02-14,0,,الطفل يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة إلى حد ما,moderate
Student_156,156,12,M,94.3,47.6,2,سلوك طبيعي,2024-03-23,0,,الطالبة تفتقد للحافز وتحتاج متابعة من الأهل قليلاً,moderate
Student_157,157,12,M,89.9,77.9,0,مشاكل تركيز,2024-05-03,0,,الطالبة تفتقر إلى مساعدة إضافية في فهم الدروس إلى حد ما,moderate
Student_158,158,12,M,79.1,92.2,2,سلوك طبيعي,2024-08-02,0,,الدارس يواجه تحديات في التعبير الكتابي,moderate
Student_159,159,16,F,79.2,58.9,0,مشاكل تركيز,2024-03-24,0,,الطالب لديه شغف جيدة لكن يفتقر إلى تنظيمًا أكبر لوقته,moderate
Student_160,160,15,M,100.0,81.6,1,مشاكل تركيز,2024-03-21,0,,الدارسة تحاول بجد لكنها تجد تحدي في القراءة الجهرية إلى حد ما,moderate
Student_161,161,16,F,100.0,72.2,0,مشاكل تركيز,2024-01-26,0,,الدارس أحيانًا يتشتت لكنه يحرص على التعلم نوعاً ما,moderate
Student_162,162,15,F,85.9,88.8,1,انسحاب اجتماعي,2024-08-18,0,,الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
Student_163,163,16,F,88.7,79.9,1,سلوك طبيعي,2024-03-24,0,,الطالبة تستدعي مساعدة أخرى في فهم الدروس,moderate
Student_164,164,16,F,92.0,64.4,0,سلوك طبيعي,2024-11-26,0,,التلميذة تحتاج مساعدة أخرى في فهم الدروس,moderate
Student_165,165,17,F,89.5,72.6,0,مشاكل تركيز,2024-11-09,0,,الطالبة تفتقد للحافز وتحتاج ملاحظة من الأهل,moderate
Student_166,166,14,F,71.3,73.3,0,مشاكل تركيز,2024-01-26,0,,التلميذة تحتاج عون إضافية في فهم الدروس,moderate
Student_167,167,16,F,92.3,73.5,0,مشاكل تركيز,2024-03-27,0,,الطالب أحيانًا ينشغل لكنه يحرص على التعلم,moderate
Student_168,168,17,F,67.1,88.4,1,سلوك طبيعي,2024-09-01,0,,الطالبة تتأخر في الإجابة وتحتاج إلى تشجيع مستمر,moderate
Student_169,169,13,F,80.7,64.9,4,سلوك طبيعي,2024-03-19,0,,الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات إلى حد ما,moderate
Student_170,170,14,F,93.1,87.0,1,مشاكل تركيز,2024-02-18,0,,الطالب لديه شغف جيدة إلى حد ما لكن يحتاج تنظيمًا أكبر لوقته,moderate
Student_171,171,16,M,94.0,71.4,0,سلوك طبيعي,2024-12-07,0,,الدارس يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات,moderate
Student_172,172,12,M,79.9,77.7,1,مشاكل تركيز,2024-07-27,0,,الطالبة تفتقر إلى دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
Student_173,173,13,M,83.4,75.9,0,مشاكل تركيز,2024-06-21,0,,الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي نوعاً ما,moderate
Student_174,174,13,M,82.1,74.7,2,سلوك طبيعي,2024-10-13,0,,الطالبة تتطلب وقتًا أطول لاستيعاب بعض المفاهيم,moderate
Student_175,175,17,F,87.0,74.8,2,مشاكل تركيز,2024-10-21,1,,الطفل يتفاعل في الحصة لكنه أحيانًا يتشتت بسرعة نوعاً ما,moderate
Student_176,176,13,F,87.7,92.5,1,سلوك طبيعي,2024-03-10,0,,التلميذة تتردد في الإجابة وتحتاج إلى تشجيع مستمر,moderate
Student_177,177,14,F,94.7,85.1,1,سلوك طبيعي,2024-02-05,0,,التلميذة تتطلب دعمًا في تطوير مهارات التفكير النقدي,moderate
